Location,Black population,Fraction of population that is Black,Latino population,Fraction of population that is Latino,Asian population,Fraction of population that is Asian,White population,Fraction of population that is White,Other population,Fraction of population that is Other,Avg number of vehicles,White collar population,White collar fraction
94605,18339.0000,0.4228,11708.0000,0.2699,3984.0000,0.0918,11065.0000,0.2551,5988.0000,0.1380,1.9,"11,874",0.5838
94606,5426.0000,0.1423,6830.0000,0.1792,17449.0000,0.4577,9002.0000,0.2361,3751.0000,0.0984,2,"10,932",0.5597
94607,8066.0000,0.2817,3768.0000,0.1316,8610.0000,0.3007,7758.0000,0.2709,2100.0000,0.0733,2,"9,662",0.6624
94608,8284.0000,0.2463,4305.0000,0.1280,6251.0000,0.1858,14466.0000,0.4300,1868.0000,0.0555,2,"15,010",0.7611
94609,4689.0000,0.2128,2547.0000,0.1156,2163.0000,0.0982,12292.0000,0.5579,974.0000,0.0442,2.1,"10,359",0.7616
94610,4081.0000,0.1336,2660.0000,0.0871,5194.0000,0.1700,17985.0000,0.5887,895.0000,0.0293,2.1,"15,196",0.7969
94611,2606.0000,0.0656,2836.0000,0.0714,6295.0000,0.1584,26990.0000,0.6792,735.0000,0.0185,2.1,"18,918",0.8515
94612,3963.0000,0.2119,2069.0000,0.1106,6805.0000,0.3639,5658.0000,0.3026,964.0000,0.0516,2.2,"6,772",0.6888
94613,55.0000,0.0802,213.0000,0.3105,79.0000,0.1152,357.0000,0.5204,85.0000,0.1239,2.2,186,0.6139
94618,754.0000,0.0432,1206.0000,0.0691,2298.0000,0.1316,12843.0000,0.7357,234.0000,0.0134,2.2,"8,563",0.8613
94619,5333.0000,0.2132,4071.0000,0.1627,6149.0000,0.2458,9374.0000,0.3747,1896.0000,0.0758,2.2,"8,755",0.6786
94621,9455.0000,0.2880,19693.0000,0.5998,1914.0000,0.0583,7510.0000,0.2288,11333.0000,0.3452,2.2,"4,237",0.3261
94702,2585.0000,0.1468,2319.0000,0.1317,2426.0000,0.1378,10229.0000,0.5810,849.0000,0.0482,2.2,"7,412",0.7732
94703,2626.0000,0.1221,2683.0000,0.1248,3015.0000,0.1402,12882.0000,0.5991,1109.0000,0.0516,2.2,"10,069",0.8196
94704,1387.0000,0.0485,2688.0000,0.0940,11516.0000,0.4028,12715.0000,0.4447,1020.0000,0.0357,2.3,"9,478",0.7671
94705,481.0000,0.0362,851.0000,0.0641,1804.0000,0.1358,9976.0000,0.7512,266.0000,0.0200,2.3,"6,172",0.8904
94706,578.0000,0.0281,2167.0000,0.1055,6918.0000,0.3368,10801.0000,0.5259,599.0000,0.0292,2.3,"8,545",0.7843
94707,220.0000,0.0173,678.0000,0.0534,1326.0000,0.1045,10195.0000,0.8031,135.0000,0.0106,2.4,"5,924",0.8903
94708,180.0000,0.0156,635.0000,0.0550,1354.0000,0.1172,9038.0000,0.7822,156.0000,0.0135,2.4,"5,300",0.8819
94709,326.0000,0.0267,931.0000,0.0761,3400.0000,0.2780,7504.0000,0.6136,205.0000,0.0168,2.4,"5,558",0.8278
94710,1335.0000,0.1476,2022.0000,0.2236,1548.0000,0.1712,4354.0000,0.4815,982.0000,0.1086,2.5,"3,813",0.7775
94720,43.0000,0.0204,225.0000,0.1067,588.0000,0.2788,1267.0000,0.6008,62.0000,0.0294,3.8,648,0.8080
